listing_id,date
6860,2015-05-09
6860,2015-07-19
6860,2015-08-31
6860,2015-10-11
6860,2015-10-18
6860,2015-10-25
6860,2015-11-01
6860,2016-01-07
6860,2016-09-26
6860,2017-06-01
6860,2017-06-15
6860,2017-07-23
6860,2017-08-05
6860,2017-08-28
6860,2017-10-13
6860,2017-10-24
6860,2017-11-04
6860,2017-12-23
6860,2017-12-27
6860,2018-01-02
6860,2018-03-02
6860,2018-03-27
6860,2018-04-04
6860,2018-05-04
6860,2018-05-18
6860,2018-07-05
6860,2018-08-19
6860,2018-10-01
6860,2018-10-09
6860,2018-10-14
6860,2018-11-03
6860,2018-11-06
6860,2018-11-11
6860,2018-12-02
6860,2019-01-02
6860,2019-04-20
6860,2019-04-27
6860,2019-05-08
6860,2019-05-19
6860,2019-05-25
6860,2019-08-16
40669,2010-09-23
40669,2012-06-05
40669,2016-09-07
40669,2017-10-07
40669,2018-05-26
40669,2018-06-29
40669,2018-09-23
40669,2018-10-15
40669,2019-01-01
40669,2019-10-12
52696,2010-12-07
52696,2010-12-12
52696,2011-01-04
52696,2011-05-03
52696,2011-05-17
52696,2011-06-05
52696,2011-06-10
52696,2011-06-13
52696,2011-06-21
52696,2011-06-25
52696,2011-07-26
52696,2011-08-13
52696,2011-09-05
52696,2011-09-09
52696,2011-09-14
52696,2011-09-22
52696,2011-09-25
52696,2011-10-02
52696,2011-12-15
52696,2011-12-24
52696,2012-01-10
52696,2012-04-12
52696,2012-04-20
52696,2012-05-15
52696,2012-05-20
52696,2012-05-30
52696,2012-06-11
52696,2012-06-21
52696,2012-06-26
52696,2012-07-27
52696,2012-07-30
52696,2012-08-12
52696,2012-08-20
52696,2012-08-30
52696,2012-10-02
52696,2012-10-25
52696,2012-11-07
52696,2013-04-03
52696,2013-07-22
52696,2013-10-05
52696,2013-10-14
52696,2013-10-21
52696,2013-10-28
52696,2013-10-31
52696,2013-11-06
52696,2013-11-18
52696,2013-11-25
52696,2013-12-04
52696,2013-12-07
52696,2013-12-12
52696,2013-12-22
52696,2013-12-31
52696,2014-01-06
52696,2014-02-03
52696,2014-02-20
52696,2014-03-04
52696,2014-03-25
52696,2014-04-11
52696,2014-04-16
52696,2014-05-20
52696,2014-05-24
52696,2014-07-07
52696,2014-07-18
52696,2014-08-02
52696,2014-08-11
52696,2014-08-24
52696,2014-08-28
52696,2014-09-01
52696,2014-09-06
52696,2014-09-29
52696,2014-10-09
52696,2014-10-20
52696,2014-10-31
52696,2014-11-10
52696,2014-11-19
52696,2014-11-23
52696,2014-12-03
52696,2014-12-19
52696,2015-01-03
52696,2015-01-09
52696,2015-01-19
52696,2015-02-25
52696,2015-03-02
52696,2015-03-07
52696,2015-03-16
52696,2015-03-22
52696,2015-03-30
52696,2015-04-21
52696,2015-04-28
52696,2015-05-04
52696,2015-05-07
52696,2015-05-23
52696,2015-06-04
52696,2015-06-15
52696,2015-06-28
52696,2015-07-03
52696,2015-07-29
52696,2015-08-07
52696,2015-08-16
52696,2015-08-23
52696,2015-08-30
52696,2015-09-10
52696,2015-09-13
52696,2015-09-19
52696,2015-09-26
52696,2015-10-01
52696,2015-10-04
52696,2015-10-19
52696,2015-10-27
52696,2015-11-07
52696,2015-11-17
52696,2016-01-12
52696,2016-01-20
52696,2016-02-15
52696,2016-03-17
52696,2016-04-06
52696,2016-04-16
52696,2016-04-19
52696,2016-05-22
52696,2016-05-25
52696,2016-06-09
52696,2016-06-14
52696,2016-06-19
52696,2016-07-05
52696,2016-07-13
52696,2016-07-17
52696,2016-07-26
52696,2016-08-01
52696,2016-08-08
52696,2016-08-27
52696,2016-09-03
52696,2016-09-30
52696,2016-10-16
52696,2016-10-26
52696,2016-11-13
52696,2016-11-20
52696,2016-12-05
52696,2017-01-02
52696,2017-01-27
52696,2017-05-14
52696,2017-05-30
52696,2017-07-01
52696,2017-07-10
52696,2017-07-19
52696,2017-07-28
52696,2017-08-08
52696,2017-08-13
52696,2017-09-02
52696,2017-09-06
52696,2017-09-19
52696,2017-09-29
52696,2017-10-06
52696,2017-10-19
52696,2017-11-20
52696,2017-11-26
52696,2018-01-13
52696,2018-03-02
52696,2018-03-12
52696,2018-04-12
52696,2018-05-12
52696,2018-07-23
52696,2018-08-01
52696,2018-09-23
52696,2018-09-27
52696,2018-10-29
52696,2018-11-03
52696,2018-11-06
52696,2018-11-12
52696,2018-11-20
52696,2018-11-25
52696,2018-12-02
52696,2018-12-16
52696,2019-01-03
52696,2019-02-19
52696,2019-02-25
52696,2019-03-27
52696,2019-04-12
52696,2019-04-21
52696,2019-05-18
52696,2019-05-21
52696,2019-05-26
52696,2019-06-01
52696,2019-06-08
52696,2019-06-13
52696,2019-06-18
52696,2019-07-02
52696,2019-07-07
52696,2019-07-27
52696,2019-07-31
52696,2019-08-05
52696,2019-08-11
52696,2019-08-25
52696,2019-09-12
52696,2019-11-01
58350,2011-10-04
58350,2018-08-16
72548,2011-05-03
72548,2011-05-17
72548,2011-05-22
72548,2011-05-25
72548,2011-06-07
72548,2011-07-18
72548,2011-07-25
72548,2011-09-07
72548,2011-09-13
72548,2011-09-27
72548,2011-10-12
72548,2011-10-24
72548,2011-11-07
72548,2011-12-30
72548,2012-01-06
72548,2012-03-04
72548,2012-03-17
72548,2012-03-25
72548,2012-04-03
72548,2012-04-17
72548,2012-04-29
72548,2012-05-11
72548,2012-05-21
72548,2012-06-27
72548,2012-07-08
72548,2012-07-21
72548,2012-08-21
72548,2012-09-01
72548,2012-09-17
72548,2012-10-29
72548,2012-11-20
72548,2012-12-11
72548,2012-12-18
72548,2013-01-05
72548,2013-03-29
72548,2013-04-20
72548,2013-04-28
