neighbourhood_group,neighbourhood
,Ward A (councilmember Denise Ridley)
,Ward B (councilmember Mira Prinz-Arey)
,Ward C (councilmember Richard Boggiano)
,Ward D (councilmember Michael Yun)
,Ward E (councilmember James Solomon)
,Ward F (councilmember Jermaine D. Robinson)
